code,사업자등록번호,정식명,검색명,별칭,계열그룹,구분,대표아티스트_초안,로스터확신도,모니터링등급,상태,누적매출_백만,최근3년_백만,최근12M_백만,당해상반기_백만,거래건수,최초거래,최종거래,비고
A001,105-87-72741,(주)플레이컴퍼니,플레이컴퍼니,PLAY COMPANY,확인필요,확인필요,,미확인,S,현행,128912,38074,9839,7058,710,2016-02-17,2026-06-30,동명이인 다수 - 사업자번호로 식별 필요
A002,211-88-46472,(주)플레디스엔터테인먼트,플레디스,PLEDIS|플레디스엔터테인먼트,HYBE,레이블,세븐틴|TWS,높음,S,현행,70976,35068,3297,699,314,2016-02-20,2026-06-01,
A003,244-88-02192,(주)빅히트뮤직,빅히트뮤직,BIGHIT MUSIC|빅히트,HYBE,레이블,방탄소년단|투모로우바이투게더,높음,S,현행,77371,28238,9811,7114,349,2021-07-12,2026-06-30,
A004,120-86-78223,(주)하이브,하이브,HYBE,HYBE,지주/종합,,해당없음,S,현행,84600,20878,9064,4655,402,2017-02-27,2026-06-26,상장 352820 - 공시 필수 모니터링
A005,564-87-01090,(주)빌리프랩,빌리프랩,BELIFT LAB|빌리프랩,HYBE,레이블,엔하이픈|아일릿,높음,S,현행,33303,14773,2179,1364,131,2020-12-29,2026-06-30,
A006,107-87-99106,(주)큐브엔터테인먼트,큐브엔터테인먼트,큐브엔터|CUBE Entertainment,독립,레이블,(여자)아이들|펜타곤|라잇썸,높음,S,현행,15277,15032,2564,0,38,2018-11-30,2025-11-30,상장 182360
A007,261-81-07698,(주)웨이크원,웨이크원,WAKEONE,CJ ENM,레이블,제로베이스원|케플러,높음,S,현행,10884,9269,1105,844,33,2019-12-03,2026-05-18,
A008,716-87-01158,(주)위버스컴퍼니,위버스컴퍼니,Weverse|위버스,HYBE,플랫폼,,해당없음,S,현행,18901,7732,1665,737,960,2018-07-27,2026-06-30,MD/앨범 커머스 채널
A009,360-81-01195,(주)케이오지엔터테인먼트,KOZ엔터테인먼트,KOZ|케이오지,HYBE,레이블,지코|보이넥스트도어,높음,S,현행,9032,8554,2087,1962,82,2019-12-19,2026-06-30,
A010,211-87-90928,(주)에프엔씨엔터테인먼트,FNC엔터테인먼트,FNC|에프엔씨,독립,레이블,FT아일랜드|SF9|앰퍼샌드원|체리블렛,높음,S,현행,5297,5297,2488,1584,42,2024-01-31,2026-05-29,상장 173940
A011,220-88-02594,(주)카카오엔터테인먼트,카카오엔터테인먼트,카카오엔터,카카오,지주/종합,,해당없음,S,현행,5213,5213,1096,875,26,2025-01-31,2026-06-30,
A012,779-87-01692,(주)이담엔터테인먼트,이담엔터테인먼트,EDAM|이담엔터,HYBE,레이블,아이유,높음,S,현행,5615,5062,1664,545,60,2022-05-31,2026-06-12,
A013,120-88-24134,(주)메이크스타,메이크스타,MakeStar,독립,플랫폼,,해당없음,S,현행,6283,4729,1248,967,79,2020-06-29,2026-06-30,팬펀딩/앨범 프로모션
A014,211-88-40371,(주)알비더블유,RBW,알비더블유|RBW엔터테인먼트,독립,레이블,마마무|원어스|원위|퍼플키스,높음,S,현행,6276,3872,944,516,140,2016-03-08,2026-06-30,상장 361570
A015,261-81-11421,(주)쏘스뮤직,쏘스뮤직,SOURCE MUSIC|소스뮤직,HYBE,레이블,르세라핌,높음,S,현행,11605,2951,1123,1100,91,2016-02-29,2026-04-30,
A016,113-81-50713,(주)에스엠라이프디자인그룹,SM라이프디자인그룹,SM Life Design|에스엠라이프디자인,SM,제조/유통,,해당없음,A,현행,2875,2875,2816,1817,17,2024-04-24,2026-06-30,인쇄·패키징 사업 보유 → 경쟁·협력 동시 관계 주의
A017,301-81-26727,(주)판타지오,판타지오,Fantagio,독립,레이블/매니지먼트,아스트로|위키미키,중간,A,현행,2862,2694,479,0,23,2018-07-25,2025-10-20,상장 032800
A018,399-85-03001,언코어,언코어,UNCORE,확인필요,확인필요,,미확인,A,현행,2417,2417,1566,5,15,2025-04-07,2026-03-17,
A019,629-86-00391,(주)더블랙레이블,더블랙레이블,THEBLACKLABEL|블랙레이블,YG 계열,레이블,태양|전소미|미야오,중간,A,현행,2310,2192,1401,817,82,2023-04-19,2026-06-30,
A020,838-86-00845,(주)아트엠앤씨,아트엠앤씨,ART M&C|아트엠앤씨,확인필요,확인필요,,미확인,A,휴면,1926,1926,0,0,13,2023-09-20,2025-05-27,
A021,349-87-01375,(주)어비스컴퍼니,어비스컴퍼니,ABYSS|어비스,독립,레이블,선미,중간,A,휴면,1723,1723,0,0,6,2024-02-01,2024-11-11,
A022,641-86-01177,(주)에버라인,에버라인,EVERLINE,확인필요,확인필요,,미확인,A,현행,1735,1519,316,114,58,2020-01-31,2026-04-16,
A023,111-81-33789,(주)울림엔터테인먼트,울림엔터테인먼트,Woollim|울림엔터,독립,레이블,골든차일드|드리핀|로켓펀치,높음,A,현행,9402,537,52,46,212,2016-06-30,2026-05-31,
A024,748-88-01720,(주)클렙엔터테인먼트,클렙엔터테인먼트,KLAP|클렙,확인필요,레이블,,미확인,A,휴면,1484,1484,0,0,16,2023-08-31,2025-01-21,
A025,106-81-51510,(주)씨제이이엔엠,CJ ENM,씨제이이엔엠|CJENM,CJ ENM,지주/종합,,해당없음,A,현행,3609,1190,280,134,134,2018-09-14,2026-05-26,상장 035760
A026,211-88-22878,(주)드림캐쳐 컴퍼니,드림캐쳐컴퍼니,Dreamcatcher Company|드림캐쳐 컴퍼니,독립,레이블,드림캐쳐,높음,A,현행,6128,758,79,79,51,2018-09-28,2026-02-20,
A027,114-87-00824,(주)더블유엠엔터테인먼트,WM엔터테인먼트,WM|더블유엠,독립,레이블,오마이걸|온앤오프,높음,A,현행,1353,1353,230,13,40,2023-10-05,2026-05-19,
A028,148-86-01402,"(주)재이콥스(JAKOPS Co.,Ltd.)","재이콥스(JAKOPS Co.,Ltd.)",,확인필요,확인필요,,미확인,A,휴면,1312,1282,0,0,6,2022-05-20,2023-08-30,
A029,783-87-02685,(주)에프앤에프엔터테인먼트,F&F엔터테인먼트,에프앤에프엔터테인먼트|FNF엔터,F&F,레이블,유니스,중간,A,현행,1272,1272,756,0,10,2023-12-20,2025-11-18,
A030,677-88-02785,(주)제이에이치이엔티,제이에이치이엔티,JH ENT,확인필요,확인필요,,미확인,A,휴면,1253,1253,0,0,1,2023-10-31,2023-10-31,
A031,120-87-75811,(주)코팬글로벌,코팬글로벌,KOFAN Global,확인필요,확인필요,,미확인,A,현행,1120,1109,392,42,29,2017-01-20,2026-06-09,
A032,586-87-02065,(주)빅플래닛메이드엔터,빅플래닛메이드엔터,빅플래닛메이드|BIGPLANETMADE,독립,레이블,강다니엘|비비|이무진,중간,A,현행,1816,969,3,0,47,2022-02-28,2025-09-12,
A033,337-87-03098,(주)골든보이스,골든보이스,GOLDEN VOICE,확인필요,확인필요,,미확인,A,휴면,1055,1055,0,0,2,2024-10-22,2024-11-21,
A034,353-88-02860,케이클립(주),케이클립,K-CLIP|케이클립엔터테인먼트,확인필요,확인필요,,미확인,A,현행,1024,1024,91,0,16,2023-08-31,2025-10-28,
A035,161-86-01778,(주)그레이트엠엔터테인먼트,그레이트엠엔터테인먼트,GREAT M,확인필요,레이블,,미확인,A,현행,1012,1012,598,254,39,2024-04-30,2026-05-31,
A036,699-81-02831,(주)인피니트컴퍼니,인피니트컴퍼니,INFINITE Company,독립,레이블,인피니트,중간,A,휴면,961,961,0,0,19,2023-08-10,2025-04-14,
A037,803-88-02555,(주)인코오드,인코오드,INKODE,확인필요,레이블,,미확인,A,현행,924,924,86,86,5,2024-07-01,2026-04-13,
